"year","primary","secondary"
2003,0.21791249839589,0.00483749996055849
2006,0.34060001373291,NA
2008,0.365549996495247,NA
2009,0.369514282260622,NA
2011,0.397908696661825,0.0138652176019209
2014,0.428936001062393,0.0378083332325332
2018,0.5384749956429,NA
